index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
206,GPT2-Medium,WikiText,2,512/8,0.77,"0,1","12,12",DCGAN,LSUN,2,128,0.54
207,GPT2-Medium,WikiText,2,512/8,0.63,"0,1","12,12",PointNet,ShapeNet,2,32,0.64
208,GPT2-Medium,WikiText,2,512/8,0.56,"0,1","12,12",PointNet,ShapeNet,2,64,0.74
209,GPT2-Medium,WikiText,2,512/8,0.37,"0,1","12,12",PointNet,ShapeNet,2,128,0.88
210,GPT2-Medium,WikiText,2,512/8,0.69,"0,1","14,10",resnet50,ImageNet,2,32,0.37
211,GPT2-Medium,WikiText,2,512/8,0.62,"0,1","14,10",resnet50,ImageNet,2,64,0.48
212,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","14,10",resnet50,ImageNet,2,128,0.0
213,GPT2-Medium,WikiText,2,512/8,0.43,"0,1","14,10",vgg19,ImageNet,2,32,0.66
214,GPT2-Medium,WikiText,2,512/8,0.36,"0,1","14,10",vgg19,ImageNet,2,64,0.79
215,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","14,10",vgg19,ImageNet,2,128,0.0
216,GPT2-Medium,WikiText,2,512/8,0.88,"0,1","14,10",DCGAN,LSUN,2,32,0.38
217,GPT2-Medium,WikiText,2,512/8,0.85,"0,1","14,10",DCGAN,LSUN,2,64,0.39
218,GPT2-Medium,WikiText,2,512/8,0.82,"0,1","14,10",DCGAN,LSUN,2,128,0.4
219,GPT2-Medium,WikiText,2,512/8,0.64,"0,1","14,10",PointNet,ShapeNet,2,32,0.55
220,GPT2-Medium,WikiText,2,512/8,0.5,"0,1","14,10",PointNet,ShapeNet,2,64,0.74
221,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","14,10",PointNet,ShapeNet,2,128,0.0
222,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",resnet50,ImageNet,2,32,0.0
223,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",resnet50,ImageNet,2,64,0.0
224,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",resnet50,ImageNet,2,128,0.0
225,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",vgg19,ImageNet,2,32,0.0
226,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",vgg19,ImageNet,2,64,0.0
227,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",vgg19,ImageNet,2,128,0.0
228,GPT2-Medium,WikiText,2,512/8,0.78,"0,1","16,8",DCGAN,LSUN,2,32,0.37
229,GPT2-Medium,WikiText,2,512/8,0.75,"0,1","16,8",DCGAN,LSUN,2,64,0.37
230,GPT2-Medium,WikiText,2,512/8,0.71,"0,1","16,8",DCGAN,LSUN,2,128,0.41
231,GPT2-Medium,WikiText,2,512/8,0.57,"0,1","16,8",PointNet,ShapeNet,2,32,0.54
232,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",PointNet,ShapeNet,2,64,0.0
233,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",PointNet,ShapeNet,2,128,0.0
234,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",resnet50,ImageNet,2,32,0.0
235,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",resnet50,ImageNet,2,64,0.0
236,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",resnet50,ImageNet,2,128,0.0
237,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",vgg19,ImageNet,2,32,0.0
238,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",vgg19,ImageNet,2,64,0.0
239,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",vgg19,ImageNet,2,128,0.0
240,GPT2-Medium,WikiText,2,512/8,0.69,"0,1","18,6",DCGAN,LSUN,2,32,0.37
241,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",DCGAN,LSUN,2,64,0.0
242,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",DCGAN,LSUN,2,128,0.0
243,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",PointNet,ShapeNet,2,32,0.0
244,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",PointNet,ShapeNet,2,64,0.0
245,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",PointNet,ShapeNet,2,128,0.0
246,GPT2-Medium,WikiText,4,512/8,0.58,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,32,0.56
247,GPT2-Medium,WikiText,4,512/8,0.53,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,64,0.7
248,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,128,0.0
249,GPT2-Medium,WikiText,4,512/8,0.41,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,32,0.7
250,GPT2-Medium,WikiText,4,512/8,0.3,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,64,0.8
251,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,128,0.0
252,GPT2-Medium,WikiText,4,512/8,0.67,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,32,0.62
253,GPT2-Medium,WikiText,4,512/8,0.66,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,64,0.58
254,GPT2-Medium,WikiText,4,512/8,0.63,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,128,0.71
255,GPT2-Medium,WikiText,4,512/8,0.53,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,32,0.76
256,GPT2-Medium,WikiText,4,512/8,0.46,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,64,0.79
257,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,128,0.0
258,GPT2-Medium,WikiText,4,512/8,0.61,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,32,0.64
259,GPT2-Medium,WikiText,4,512/8,0.53,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,64,0.81
260,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,128,0.0
261,GPT2-Medium,WikiText,4,512/8,0.38,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,32,0.74
262,GPT2-Medium,WikiText,4,512/8,0.27,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,64,0.82
263,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,128,0.0
264,GPT2-Medium,WikiText,4,512/8,0.75,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,32,0.73
265,GPT2-Medium,WikiText,4,512/8,0.73,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,64,0.67
266,GPT2-Medium,WikiText,4,512/8,0.69,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,128,0.83
267,GPT2-Medium,WikiText,4,512/8,0.54,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,32,0.89
268,GPT2-Medium,WikiText,4,512/8,0.42,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,64,0.9
269,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,128,0.0
270,GPT2-Medium,WikiText,4,512/8,0.59,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,32,0.76
271,GPT2-Medium,WikiText,4,512/8,0.52,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,64,0.95
272,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,128,0.0
273,GPT2-Medium,WikiText,4,512/8,0.37,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,32,0.8
274,GPT2-Medium,WikiText,4,512/8,0.27,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,64,0.84
275,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,128,0.0
276,GPT2-Medium,WikiText,4,512/8,0.67,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,32,0.9
277,GPT2-Medium,WikiText,4,512/8,0.66,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,64,0.86
278,GPT2-Medium,WikiText,4,512/8,0.63,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,128,1.0
279,GPT2-Medium,WikiText,4,512/8,0.52,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,32,1.0
280,GPT2-Medium,WikiText,4,512/8,0.42,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,64,1.0
281,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,128,0.0
282,GPT2-Medium,WikiText,4,512/8,0.5,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,32,0.8
283,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,64,0.0
284,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,128,0.0
285,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,32,0.0
286,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,64,0.0
287,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,128,0.0
288,GPT2-Medium,WikiText,4,512/8,0.61,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,32,0.83
289,GPT2-Medium,WikiText,4,512/8,0.59,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,64,0.9
290,GPT2-Medium,WikiText,4,512/8,0.56,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,128,1.0
291,GPT2-Medium,WikiText,4,512/8,0.45,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,32,1.0
292,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,64,0.0
293,GPT2-Medium,WikiText,4,512/8,0.0,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,128,0.0
294,resnet50,ImageNet,1,32,0.55,0,NA,resnet50,ImageNet,1,32,0.51
295,resnet50,ImageNet,1,32,0.5,0,NA,resnet50,ImageNet,1,64,0.72
296,resnet50,ImageNet,1,32,0.41,0,NA,resnet50,ImageNet,1,128,0.89
297,resnet50,ImageNet,1,64,0.64,0,NA,resnet50,ImageNet,1,32,0.43
298,resnet50,ImageNet,1,64,0.61,0,NA,resnet50,ImageNet,1,64,0.61
299,resnet50,ImageNet,1,64,0.46,0,NA,resnet50,ImageNet,1,128,0.76
300,resnet50,ImageNet,1,128,0.86,0,NA,resnet50,ImageNet,1,32,0.37
301,resnet50,ImageNet,1,128,0.76,0,NA,resnet50,ImageNet,1,64,0.48
302,resnet50,ImageNet,1,128,0.52,0,NA,resnet50,ImageNet,1,128,0.52
303,vgg19,ImageNet,1,32,0.8,0,NA,resnet50,ImageNet,1,32,0.35
304,vgg19,ImageNet,1,32,0.73,0,NA,resnet50,ImageNet,1,64,0.34
305,vgg19,ImageNet,1,32,0.62,0,NA,resnet50,ImageNet,1,128,0.55
306,vgg19,ImageNet,1,32,0.43,0,NA,vgg19,ImageNet,1,32,0.43
307,vgg19,ImageNet,1,32,0.41,0,NA,vgg19,ImageNet,1,64,0.69
308,vgg19,ImageNet,1,32,0.26,0,NA,vgg19,ImageNet,1,128,0.76
309,vgg19,ImageNet,1,64,0.94,0,NA,resnet50,ImageNet,1,32,0.21
310,vgg19,ImageNet,1,64,0.85,0,NA,resnet50,ImageNet,1,64,0.31
311,vgg19,ImageNet,1,64,0.74,0,NA,resnet50,ImageNet,1,128,0.39
312,vgg19,ImageNet,1,64,0.61,0,NA,vgg19,ImageNet,1,32,0.33
313,vgg19,ImageNet,1,64,0.45,0,NA,vgg19,ImageNet,1,64,0.45
314,vgg19,ImageNet,1,64,0.31,0,NA,vgg19,ImageNet,1,128,0.59
315,vgg19,ImageNet,1,128,0.95,0,NA,resnet50,ImageNet,1,32,0.18
316,vgg19,ImageNet,1,128,0.92,0,NA,resnet50,ImageNet,1,64,0.2
317,vgg19,ImageNet,1,128,0.82,0,NA,resnet50,ImageNet,1,128,0.26
318,vgg19,ImageNet,1,128,0.72,0,NA,vgg19,ImageNet,1,32,0.26
319,vgg19,ImageNet,1,128,0.64,0,NA,vgg19,ImageNet,1,64,0.34
320,vgg19,ImageNet,1,128,0.45,0,NA,vgg19,ImageNet,1,128,0.45
321,DCGAN,LSUN,1,32,0.86,0,NA,resnet50,ImageNet,1,32,0.87
322,DCGAN,LSUN,1,32,0.6,0,NA,resnet50,ImageNet,1,64,0.96
323,DCGAN,LSUN,1,32,0.46,0,NA,resnet50,ImageNet,1,128,1.0
324,DCGAN,LSUN,1,32,0.38,0,NA,vgg19,ImageNet,1,32,0.94
325,DCGAN,LSUN,1,32,0.28,0,NA,vgg19,ImageNet,1,64,0.98
326,DCGAN,LSUN,1,32,0.18,0,NA,vgg19,ImageNet,1,128,1.0
327,DCGAN,LSUN,1,32,1.0,0,NA,DCGAN,LSUN,1,32,1.0
328,DCGAN,LSUN,1,32,1.0,0,NA,DCGAN,LSUN,1,64,1.0
329,DCGAN,LSUN,1,32,1.0,0,NA,DCGAN,LSUN,1,128,0.9
330,DCGAN,LSUN,1,64,0.73,0,NA,resnet50,ImageNet,1,32,0.82
331,DCGAN,LSUN,1,64,0.54,0,NA,resnet50,ImageNet,1,64,0.91
332,DCGAN,LSUN,1,64,0.42,0,NA,resnet50,ImageNet,1,128,1.0
333,DCGAN,LSUN,1,64,0.35,0,NA,vgg19,ImageNet,1,32,0.92
334,DCGAN,LSUN,1,64,0.2,0,NA,vgg19,ImageNet,1,64,1.0
335,DCGAN,LSUN,1,64,0.17,0,NA,vgg19,ImageNet,1,128,0.99
336,DCGAN,LSUN,1,64,1.0,0,NA,DCGAN,LSUN,1,32,1.0
337,DCGAN,LSUN,1,64,1.0,0,NA,DCGAN,LSUN,1,64,0.99
338,DCGAN,LSUN,1,64,0.92,0,NA,DCGAN,LSUN,1,128,0.93
339,DCGAN,LSUN,1,128,0.74,0,NA,resnet50,ImageNet,1,32,0.74
340,DCGAN,LSUN,1,128,0.56,0,NA,resnet50,ImageNet,1,64,0.84
341,DCGAN,LSUN,1,128,0.43,0,NA,resnet50,ImageNet,1,128,0.97
342,DCGAN,LSUN,1,128,0.35,0,NA,vgg19,ImageNet,1,32,0.89
343,DCGAN,LSUN,1,128,0.24,0,NA,vgg19,ImageNet,1,64,0.97
344,DCGAN,LSUN,1,128,0.2,0,NA,vgg19,ImageNet,1,128,0.96
345,DCGAN,LSUN,1,128,0.99,0,NA,DCGAN,LSUN,1,32,1.0
346,DCGAN,LSUN,1,128,0.68,0,NA,DCGAN,LSUN,1,64,0.68
347,DCGAN,LSUN,1,128,0.91,0,NA,DCGAN,LSUN,1,128,0.85
348,PointNet,ShapeNet,1,32,0.74,0,NA,resnet50,ImageNet,1,32,0.46
349,PointNet,ShapeNet,1,32,0.66,0,NA,resnet50,ImageNet,1,64,0.52
350,PointNet,ShapeNet,1,32,0.5,0,NA,resnet50,ImageNet,1,128,0.73
351,PointNet,ShapeNet,1,32,0.4,0,NA,vgg19,ImageNet,1,32,0.64
352,PointNet,ShapeNet,1,32,0.3,0,NA,vgg19,ImageNet,1,64,0.86
353,PointNet,ShapeNet,1,32,0.2,0,NA,vgg19,ImageNet,1,128,0.94
354,PointNet,ShapeNet,1,32,0.98,0,NA,DCGAN,LSUN,1,32,0.61
355,PointNet,ShapeNet,1,32,0.88,0,NA,DCGAN,LSUN,1,64,0.52
356,PointNet,ShapeNet,1,32,0.85,0,NA,DCGAN,LSUN,1,128,0.53
357,PointNet,ShapeNet,1,32,0.67,0,NA,PointNet,ShapeNet,1,32,0.67
358,PointNet,ShapeNet,1,32,0.51,0,NA,PointNet,ShapeNet,1,64,0.77
359,PointNet,ShapeNet,1,32,0.39,0,NA,PointNet,ShapeNet,1,128,0.9
360,PointNet,ShapeNet,1,64,0.86,0,NA,resnet50,ImageNet,1,32,0.29
361,PointNet,ShapeNet,1,64,0.72,0,NA,resnet50,ImageNet,1,64,0.38
362,PointNet,ShapeNet,1,64,0.6,0,NA,resnet50,ImageNet,1,128,0.51
363,PointNet,ShapeNet,1,64,0.52,0,NA,vgg19,ImageNet,1,32,0.54
364,PointNet,ShapeNet,1,64,0.44,0,NA,vgg19,ImageNet,1,64,0.69
365,PointNet,ShapeNet,1,64,0.28,0,NA,vgg19,ImageNet,1,128,0.82
366,PointNet,ShapeNet,1,64,1.0,0,NA,DCGAN,LSUN,1,32,0.37
367,PointNet,ShapeNet,1,64,0.96,0,NA,DCGAN,LSUN,1,64,0.33
368,PointNet,ShapeNet,1,64,0.99,0,NA,DCGAN,LSUN,1,128,0.37
369,PointNet,ShapeNet,1,64,0.81,0,NA,PointNet,ShapeNet,1,32,0.51
370,PointNet,ShapeNet,1,64,0.65,0,NA,PointNet,ShapeNet,1,64,0.64
371,PointNet,ShapeNet,1,64,0.53,0,NA,PointNet,ShapeNet,1,128,0.75
372,PointNet,ShapeNet,1,128,0.96,0,NA,resnet50,ImageNet,1,32,0.21
373,PointNet,ShapeNet,1,128,0.88,0,NA,resnet50,ImageNet,1,64,0.29
374,PointNet,ShapeNet,1,128,0.76,0,NA,resnet50,ImageNet,1,128,0.41
375,PointNet,ShapeNet,1,128,0.72,0,NA,vgg19,ImageNet,1,32,0.43
376,PointNet,ShapeNet,1,128,0.53,0,NA,vgg19,ImageNet,1,64,0.52
377,PointNet,ShapeNet,1,128,0.37,0,NA,vgg19,ImageNet,1,128,0.71
378,PointNet,ShapeNet,1,128,1.0,0,NA,DCGAN,LSUN,1,32,0.37
379,PointNet,ShapeNet,1,128,0.98,0,NA,DCGAN,LSUN,1,64,0.34
380,PointNet,ShapeNet,1,128,0.98,0,NA,DCGAN,LSUN,1,128,0.35
381,PointNet,ShapeNet,1,128,0.9,0,NA,PointNet,ShapeNet,1,32,0.36
382,PointNet,ShapeNet,1,128,0.77,0,NA,PointNet,ShapeNet,1,64,0.52
383,PointNet,ShapeNet,1,128,0.57,0,NA,PointNet,ShapeNet,1,128,0.69
384,resnet50,ImageNet,2,32,0.47,"0,1",NA,resnet50,ImageNet,2,32,0.47
385,resnet50,ImageNet,2,32,0.42,"0,1",NA,resnet50,ImageNet,2,64,0.63
386,resnet50,ImageNet,2,32,0.36,"0,1",NA,resnet50,ImageNet,2,128,0.8
387,resnet50,ImageNet,4,32,0.54,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.54
388,resnet50,ImageNet,4,32,0.38,"0,1,2,3",NA,resnet50,ImageNet,4,64,0.64
389,resnet50,ImageNet,4,32,0.37,"0,1,2,3",NA,resnet50,ImageNet,4,128,0.8
390,resnet50,ImageNet,2,64,0.71,"0,1",NA,resnet50,ImageNet,2,32,0.5
391,resnet50,ImageNet,2,64,0.5,"0,1",NA,resnet50,ImageNet,2,64,0.5
392,resnet50,ImageNet,2,64,0.48,"0,1",NA,resnet50,ImageNet,2,128,0.73
393,resnet50,ImageNet,4,64,0.68,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.39
394,resnet50,ImageNet,4,64,0.59,"0,1,2,3",NA,resnet50,ImageNet,4,64,0.59
395,resnet50,ImageNet,4,64,0.53,"0,1,2,3",NA,resnet50,ImageNet,4,128,0.71
396,resnet50,ImageNet,2,128,0.84,"0,1",NA,resnet50,ImageNet,2,32,0.42
397,resnet50,ImageNet,2,128,0.73,"0,1",NA,resnet50,ImageNet,2,64,0.45
398,resnet50,ImageNet,2,128,0.47,"0,1",NA,resnet50,ImageNet,2,128,0.47
399,resnet50,ImageNet,4,128,0.81,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.37
400,resnet50,ImageNet,4,128,0.69,"0,1,2,3",NA,resnet50,ImageNet,4,64,0.49
401,resnet50,ImageNet,4,128,0.46,"0,1,2,3",NA,resnet50,ImageNet,4,128,0.46
402,vgg19,ImageNet,2,32,0.84,"0,1",NA,resnet50,ImageNet,2,32,0.3
403,vgg19,ImageNet,2,32,0.73,"0,1",NA,resnet50,ImageNet,2,64,0.36
404,vgg19,ImageNet,2,32,0.6,"0,1",NA,resnet50,ImageNet,2,128,0.52
405,vgg19,ImageNet,2,32,0.46,"0,1",NA,vgg19,ImageNet,2,32,0.46
406,vgg19,ImageNet,2,32,0.34,"0,1",NA,vgg19,ImageNet,2,64,0.59
407,vgg19,ImageNet,2,32,0.27,"0,1",NA,vgg19,ImageNet,2,128,0.71
408,vgg19,ImageNet,4,32,0.81,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.28
409,vgg19,ImageNet,4,32,0.68,"0,1,2,3",NA,resnet50,ImageNet,4,64,0.38
410,vgg19,ImageNet,4,32,0.61,"0,1,2,3",NA,resnet50,ImageNet,4,128,0.51
411,vgg19,ImageNet,4,32,0.47,"0,1,2,3",NA,vgg19,ImageNet,4,32,0.47
412,vgg19,ImageNet,4,32,0.38,"0,1,2,3",NA,vgg19,ImageNet,4,64,0.65
413,vgg19,ImageNet,4,32,0.27,"0,1,2,3",NA,vgg19,ImageNet,4,128,0.75
414,vgg19,ImageNet,2,64,0.91,"0,1",NA,resnet50,ImageNet,2,32,0.24
415,vgg19,ImageNet,2,64,0.77,"0,1",NA,resnet50,ImageNet,2,64,0.27
416,vgg19,ImageNet,2,64,0.7,"0,1",NA,resnet50,ImageNet,2,128,0.34
417,vgg19,ImageNet,2,64,0.67,"0,1",NA,vgg19,ImageNet,2,32,0.4
418,vgg19,ImageNet,2,64,0.44,"0,1",NA,vgg19,ImageNet,2,64,0.44
419,vgg19,ImageNet,2,64,0.3,"0,1",NA,vgg19,ImageNet,2,128,0.49
420,vgg19,ImageNet,4,64,0.87,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.19
421,vgg19,ImageNet,4,64,0.84,"0,1,2,3",NA,resnet50,ImageNet,4,64,0.31
422,vgg19,ImageNet,4,64,0.7,"0,1,2,3",NA,resnet50,ImageNet,4,128,0.34
423,vgg19,ImageNet,4,64,0.56,"0,1,2,3",NA,vgg19,ImageNet,4,32,0.32
424,vgg19,ImageNet,4,64,0.39,"0,1,2,3",NA,vgg19,ImageNet,4,64,0.39
425,vgg19,ImageNet,4,64,0.32,"0,1,2,3",NA,vgg19,ImageNet,4,128,0.6
426,vgg19,ImageNet,2,128,0.97,"0,1",NA,resnet50,ImageNet,2,32,0.17
427,vgg19,ImageNet,2,128,0.93,"0,1",NA,resnet50,ImageNet,2,64,0.21
428,vgg19,ImageNet,2,128,0.83,"0,1",NA,resnet50,ImageNet,2,128,0.27
429,vgg19,ImageNet,2,128,0.74,"0,1",NA,vgg19,ImageNet,2,32,0.26
430,vgg19,ImageNet,2,128,0.52,"0,1",NA,vgg19,ImageNet,2,64,0.3
431,vgg19,ImageNet,2,128,0.43,"0,1",NA,vgg19,ImageNet,2,128,0.43
432,vgg19,ImageNet,4,128,0.95,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.15
